,"[1, 2]","       [1, 6]","       [1, 5]","       [1, 4]","       [1, 8]","       [2, 3]","       [2, 6]","       [2, 5]","       [2, 4]","       [2, 7],","       [2, 9],","       [3, 6],","       [3, 5],","       [3, 4],","       [3, 8],","       [5, 6]","       [6, 7]","       [6, 8]","       [6, 9]","       [4, 5],","       [5, 7]","       [5, 8]","       [5, 9]","       [4, 7],","       [4, 8]","       [4, 9]","       [7, 8]","       [8, 9]",constr2,obj1,obj2,constr1,constr3,design_bitstring,design_radii
20,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0003,0.0004,0.0,200000000000.0,0.073516225,0.271851539,1.39e-16,1,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0.0003, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0003, 0.0002, 0.0003, 0.0, 0.0002, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0004, 0.0002, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0003, 0.0004, 0.0]"
21,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0002,0.0003,0.0004,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0004,0.0,0.0002,0.0002,0.0004,0.0,0.0002,0.0004,0.0,0.0004,0.0004,0.0,69000000000.0,0.210476936,0.688801778,1.39e-16,1,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[0.0002, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0003, 0.0002, 0.0003, 0.0004, 0.0003, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0004, 0.0, 0.0002, 0.0002, 0.0004, 0.0, 0.0002, 0.0004, 0.0, 0.0004, 0.0004, 0.0]"
22,0.0004,0.0,0.0002,0.0,0.0,0.0003,0.0002,0.0,0.0002,0.0002,0.0004,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0004,0.0003,0.0,0.0003,0.0004,0.0003,200000000000.0,0.172277762,0.462863579,1.39e-16,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1]","[0.0004, 0.0, 0.0002, 0.0, 0.0, 0.0003, 0.0002, 0.0, 0.0002, 0.0002, 0.0004, 0.0, 0.0, 0.0002, 0.0, 0.0002, 0.0, 0.0003, 0.0002, 0.0, 0.0, 0.0, 0.0004, 0.0003, 0.0, 0.0003, 0.0004, 0.0003]"
23,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0003,0.0002,0.0,0.0,0.0002,0.0,0.0004,0.0003,0.0,0.0,0.0,0.0004,0.0004,0.0,69000000000.0,0.072814005,0.537088808,1.39e-16,1,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.0002, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0002, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.0002, 0.0002, 0.0003, 0.0002, 0.0, 0.0, 0.0002, 0.0, 0.0004, 0.0003, 0.0, 0.0, 0.0, 0.0004, 0.0004, 0.0]"
24,0.0002,0.0004,0.0,0.0003,0.0004,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0004,0.0,0.0,0.0002,0.0002,0.0,0.0002,0.0003,0.0003,0.0,0.0004,0.0,0.0,0.0003,0.0003,0.0004,4000000000.0,0.118865038,0.709986073,1.39e-16,1,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[0.0002, 0.0004, 0.0, 0.0003, 0.0004, 0.0003, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0004, 0.0, 0.0, 0.0002, 0.0002, 0.0, 0.0002, 0.0003, 0.0003, 0.0, 0.0004, 0.0, 0.0, 0.0003, 0.0003, 0.0004]"
25,0.0004,0.0,0.0003,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0003,0.0,0.0003,0.0003,0.0,0.0003,0.0004,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,4000000000.0,0.200378591,0.599028277,1.39e-16,1,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[0.0004, 0.0, 0.0003, 0.0002, 0.0002, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0004, 0.0, 0.0003, 0.0, 0.0003, 0.0003, 0.0, 0.0003, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0002]"
26,0.0004,0.0,0.0004,0.0003,0.0,0.0,0.0002,0.0004,0.0002,0.0004,0.0,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0004,0.0,0.0,0.0,0.0003,0.0,0.0004,0.0,4000000000.0,0.129981747,0.538491007,1.39e-16,1,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0.0004, 0.0, 0.0004, 0.0003, 0.0, 0.0, 0.0002, 0.0004, 0.0002, 0.0004, 0.0, 0.0004, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0004, 0.0]"
27,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0002,0.0,0.0,0.0004,0.0004,0.0,0.0003,0.0004,0.0,0.0,0.0002,0.0,0.0002,0.0003,0.0002,0.0,0.0004,0.0,0.0,0.0004,0.0003,0.0,200000000000.0,0.231663723,1.016760278,1.39e-16,1,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0.0003, 0.0003, 0.0003, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0004, 0.0004, 0.0, 0.0003, 0.0004, 0.0, 0.0, 0.0002, 0.0, 0.0002, 0.0003, 0.0002, 0.0, 0.0004, 0.0, 0.0, 0.0004, 0.0003, 0.0]"
28,0.0003,0.0003,0.0,0.0003,0.0003,0.0004,0.0003,0.0,0.0,0.0002,0.0003,0.0003,0.0004,0.0003,0.0,0.0,0.0003,0.0004,0.0002,0.0,0.0003,0.0002,0.0,0.0,0.0003,0.0002,0.0003,0.0004,4000000000.0,0.180274473,0.645694396,1.39e-16,1,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.0003, 0.0003, 0.0, 0.0003, 0.0003, 0.0004, 0.0003, 0.0, 0.0, 0.0002, 0.0003, 0.0003, 0.0004, 0.0003, 0.0, 0.0, 0.0003, 0.0004, 0.0002, 0.0, 0.0003, 0.0002, 0.0, 0.0, 0.0003, 0.0002, 0.0003, 0.0004]"
29,0.0,0.0002,0.0,0.0002,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0002,0.0004,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0003,200000000000.0,0.074672647,0.323547246,1.39e-16,1,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[0.0, 0.0002, 0.0, 0.0002, 0.0, 0.0003, 0.0002, 0.0, 0.0, 0.0, 0.0002, 0.0003, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0002, 0.0004, 0.0004, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0003]"
